country:bra
Bo      ,博洛尼亚
Li      ,利沃诺
end:ita

country:jpn
浦和红钻      ,Pu
浦和紅鑽      ,Pu
鸟栖沙岩      ,Niao
鳥栖沙岩      ,Niao
川崎前锋      ,Chuan
川崎前鋒      ,Chuan
鹿岛鹿角      ,Lu
鹿島鹿角      ,Lu
神户胜利船    ,Shen
神戶勝利船    ,Shen
柏太阳神      ,Bai
柏雷素爾      ,Bai
广岛三箭      ,Guang
廣島三箭      ,Guang
新泻天鹅      ,Xin
新瀉天鵝      ,Xin
新潟天鵝      ,Xin
横滨水手      ,Heng
橫濱水手      ,Heng
FC东京        ,FC
FC東京        ,FC
仙台维加泰    ,Xian
仙台維加泰    ,Xian
清水鼓动      ,Qing
清水心跳      ,Qing
大阪钢巴      ,DaGang
大阪飛腳      ,DaGang
大阪樱花      ,DaYing
大阪櫻花      ,DaYing
名古屋鲸八    ,Ming
名古屋八鯨    ,Ming
甲府风林      ,Jia
甲府風林      ,Jia
大宫松鼠      ,DaGong
大宮松鼠      ,DaGong
德岛漩涡      ,De
湘南海洋      ,Xiang
湘南比馬      ,Xiang
磐田喜悦      ,Pan
磐田山葉      ,Pan
大分三神      ,DaFeng
札幌冈萨多    ,Zha
札幌岡薩多    ,Zha
福冈黄蜂      ,Fu
福岡黃蜂      ,Fu
山形山神      ,Shan
京都不死鸟    ,Jing
京都不死鳥    ,Jing
千叶市原      ,Qian
千葉市原      ,Qian
东京绿茵      ,Dong
横滨FC        ,HengFC
山形蒙迪奧    ,ShanXingM
松本山雅      ,Song
长崎航海      ,Chang
赞岐釜玉海    ,Zan
赞岐          ,Zan
鸟取希望      ,NiaoQuX
町田泽维亚    ,Ting
鸟取飞翔      ,NiaoQuF
北九州向日葵  ,Bei
岐阜FC        ,Qi
FC岐阜        ,Qi
富山胜利      ,FuShan
枥木SC        ,Li
冈山绿雉      ,Gang
熊本深红      ,Xiong
湘南比马      ,XiangNanB
爱嫒FC        ,Ai
爱媛FC        ,Ai
草津温泉      ,Cao
群马草津温泉  ,Cao
水户蜀葵      ,Shui
Pu            ,浦和红钻
Niao          ,鸟栖沙岩
Chuan         ,川崎前锋
Lu            ,鹿岛鹿角
Shen          ,神户胜利
Bai           ,柏太阳神,
Guang         ,广岛三箭
Xin           ,新泻天鹅
Heng          ,横滨水手
FC            ,FC东京
Xian          ,仙台维加泰
Qing          ,清水鼓动
DaGang        ,大阪钢巴
DaYing        ,大阪樱花,
Ming          ,名古屋鲸
Jia           ,甲府风林
DaGong        ,大宫松鼠
De            ,德岛漩涡
Xiang         ,湘南海洋
Pan           ,磐田喜悦
DaFeng        ,大分三神
Zha           ,札幌冈萨多
Fu            ,福冈黄蜂
Shan          ,山形山神
Jing          ,京都不死鸟
Qian          ,千叶市原
Dong          ,东京绿茵
HengFC        ,横滨FC
ShanXingM     ,山形蒙迪
Song          ,松本山雅
Chang         ,长崎航海
Qun           ,群马草津温泉
Zan           ,赞岐釜玉海
NiaoQuX       ,鸟取希望
Ting          ,町田泽维亚
NiaoQuF       ,鸟取飞翔
Bei           ,北九州向日葵
Qi            ,岐阜FC
FuShan        ,富山胜利
Li            ,枥木SC
Gang          ,冈山绿雉
Xiong         ,熊本深红
XiangNanB     ,湘南比马
Ai            ,爱嫒FC
Cao           ,草津温泉
Shui          ,水户蜀葵
end:jpn

country:jpn_b
浦和红钻      ,Pu
浦和紅鑽      ,Pu
鸟栖沙岩      ,Niao
鳥栖沙岩      ,Niao
川崎前锋      ,Chuan
川崎前鋒      ,Chuan
鹿岛鹿角      ,Lu
鹿島鹿角      ,Lu
神户胜利船    ,Shen
神戶勝利船    ,Shen
柏太阳神      ,Bai
柏雷素爾      ,Bai
广岛三箭      ,Guang
廣島三箭      ,Guang
新泻天鹅      ,Xin
新瀉天鵝      ,Xin
新潟天鵝      ,Xin
横滨水手      ,Heng
橫濱水手      ,Heng
FC东京        ,FC
FC東京        ,FC
仙台维加泰    ,Xian
仙台維加泰    ,Xian
清水鼓动      ,Qing
清水心跳      ,Qing
大阪钢巴      ,DaGang
大阪飛腳      ,DaGang
大阪樱花      ,DaYing
大阪櫻花      ,DaYing
名古屋鲸八    ,Ming
名古屋八鯨    ,Ming
甲府风林      ,Jia
甲府風林      ,Jia
大宫松鼠      ,DaGong
大宮松鼠      ,DaGong
德岛漩涡      ,De
湘南海洋      ,Xiang
湘南比馬      ,Xiang
磐田喜悦      ,Pan
磐田山葉      ,Pan
大分三神      ,DaFeng
札幌冈萨多    ,Zha
札幌岡薩多    ,Zha
福冈黄蜂      ,Fu
福岡黃蜂      ,Fu
山形山神      ,Shan
京都不死鸟    ,Jing
京都不死鳥    ,Jing
千叶市原      ,Qian
千葉市原      ,Qian
东京绿茵      ,Dong
横滨FC        ,HengFC
山形蒙迪奧    ,ShanXingM
松本山雅      ,Song
长崎航海      ,Chang
长崎成功丸    ,Chang
赞岐釜玉海    ,Zan
赞岐          ,Zan
鸟取希望      ,NiaoQuX
町田泽维亚    ,Ting
鸟取飞翔      ,NiaoQuF
北九州向日葵  ,Bei
岐阜FC        ,Qi
FC岐阜        ,Qi
富山胜利      ,FuShan
枥木SC        ,Li
冈山绿雉      ,Gang
熊本深红      ,Xiong
湘南比马      ,XiangNanB
爱嫒FC        ,Ai
爱媛FC        ,Ai
草津温泉      ,Cao
群马草津温泉  ,Cao
水户蜀葵      ,Shui

Pu            ,浦和红钻
Niao          ,鸟栖沙岩
Chuan         ,川崎前锋
Lu            ,鹿岛鹿角
Shen          ,神户胜利
Bai           ,柏太阳神,
