171	 novibet	 1.14	 7.4	 15.75	 81.54%	 12.56%	 5.9%	 92.96%	 0.94	 0.91	 0.83	 主 客 同
172	 SuperSport	 1.2	 5.5	 10.5	 75.05%	 16.37%	 8.58%	 90.06%	 0.99	 0.68	 0.55	 主 客 同
173	 Tipsport.net(捷克)	 1.13	 9.1	 20	 84.7%	 10.52%	 4.79%	 95.71%	 0.93	 1.12	 1.05	 主 客 同
174	 Unitab	 1.11	 9	 14	 83.15%	 10.26%	 6.59%	 92.3%	 0.91	 1.11	 0.73	 主 客 同
175	 BetAdria	 1.14	 6.65	 14.2	 79.89%	 13.7%	 6.41%	 91.07%	 0.94	 0.82	 0.74	 主 客 同
176	 betclick.fr	 1.07	 8.5	 16	 83.84%	 10.55%	 5.61%	 89.71%	 0.88	 1.05	 0.84	 主 客 同
177	 DiamondSportsBook	 1.11	 7	 18.5	 82.06%	 13.01%	 4.92%	 91.09%	 0.91	 0.86	 0.97	 主 客 同
178	 france-pari.fr	 1.07	 6.75	 15	 81.31%	 12.89%	 5.8%	 87%	 0.88	 0.83	 0.79	 主 客 同
179	 Island Casino	 1.14	 9.42	 18.92	 84.65%	 10.24%	 5.1%	 96.5%	 0.94	 1.16	 0.99	 主 客 同
180	 Offsidebet	 1.13	 7.25	 19	 82.28%	 12.82%	 4.89%	 92.98%	 0.93	 0.89	 1	 主 客 同
181	 Parionsweb	 1.1	 7	 15	 81.27%	 12.77%	 5.96%	 89.4%	 0.91	 0.86	 0.79	 主 客 同
182	 PMU	 1.08	 8	 18	 83.68%	 11.3%	 5.02%	 90.37%	 0.89	 0.99	 0.94	 主 客 同
183	 SAjOO	 1.09	 8	 15	 82.72%	 11.27%	 6.01%	 90.16%	 0.9	 0.99	 0.79	 主 客 同
184	 youwin	 1.14	 7.4	 20.5	 82.67%	 12.74%	 4.6%	 94.24%	 0.94	 0.91	 1.07	 主 客 同
185	 SAjOO.fr	 1.08	 8.25	 16	 83.44%	 10.92%	 5.63%	 90.12%	 0.89	 1.02	 0.84	 主 客 同
186	 Gamenet	 1.15	 7.5	 17	 81.9%	 12.56%	 5.54%	 94.18%	 0.95	 0.93	 0.89	 主 客 同
187	 Betngo	 1.13	 9.1	 28	 85.87%	 10.66%	 3.47%	 97.03%	 0.93	 1.12	 1.47	 主 客 同
188	 32Red Bet	 1.12	 7.6	 18	 82.67%	 12.18%	 5.14%	 92.59%	 0.92	 0.94	 0.94	 主 客 同
189	 Gamblers Palace	 1.12	 7	 18.5	 81.93%	 13.11%	 4.96%	 91.76%	 0.92	 0.86	 0.97	 主 客 同
190	 Betonline	 1.13	 7	 21	 82.29%	 13.28%	 4.43%	 92.99%	 0.93	 0.86	 1.1	 主 客 同
191	 Guts	 1.11	 8.2	 19	 83.77%	 11.34%	 4.89%	 92.98%	 0.91	 1.01	 1	 主 客 同
192	 1Bet	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
193	 BetRedKings	 1.12	 8.2	 19	 83.64%	 11.42%	 4.93%	 93.68%	 0.92	 1.01	 1	 主 客 同
194	 Sisal	 1.13	 7.5	 18	 82.41%	 12.42%	 5.17%	 93.12%	 0.93	 0.93	 0.94	 主 客 同
195	 Betpeople	 1.11	 6	 18	 80.21%	 14.84%	 4.95%	 89.03%	 0.91	 0.74	 0.94	 主 客 同
196	 Bookmaker.ag	 1.13	 7	 19	 81.91%	 13.22%	 4.87%	 92.56%	 0.93	 0.86	 1	 主 客 同
197	 Carib Sports(洪都拉斯)	 1.12	 7	 16	 81.3%	 13.01%	 5.69%	 91.06%	 0.92	 0.86	 0.84	 主 客 同
198	 Dafabet(菲律宾)	 1.14	 6	 17.67	 79.71%	 15.15%	 5.14%	 90.87%	 0.94	 0.74	 0.93	 主 客 同
199	 E乐博(菲律宾)	 1.11	 7.1	 17	 81.86%	 12.8%	 5.34%	 90.86%	 0.91	 0.88	 0.89	 主 客 同
200	 Marathon	 1.14	 10	 20	 85.4%	 9.74%	 4.87%	 97.36%	 0.94	 1.23	 1.05	 主 客 同
201	 Milenium(波兰)	 1.15	 6.3	 14	 79.07%	 14.43%	 6.5%	 90.93%	 0.95	 0.78	 0.73	 主 客 同
202	 SuperSoccer(英国)	 1.11	 6.5	 17	 80.9%	 13.82%	 5.28%	 89.8%	 0.91	 0.8	 0.89	 主 客 同
203	 Tempobet	 1.18	 7.5	 17	 81.52%	 12.83%	 5.66%	 96.19%	 0.97	 0.93	 0.89	 主 客 同
204	 Eccobet(塞浦路斯)	 1.15	 6.45	 12	 78.49%	 13.99%	 7.52%	 90.26%	 0.95	 0.8	 0.63	 主 客 同
205	 Betcity	 1.13	 8.5	 13.7	 82.28%	 10.94%	 6.79%	 92.98%	 0.93	 1.05	 0.72	 主 客 同
206	 Efbet	 1.14	 7.5	 19	 82.51%	 12.54%	 4.95%	 94.06%	 0.94	 0.93	 1	 主 客 同
207	 Goalbet	 1.13	 8.56	 19.14	 83.96%	 11.08%	 4.96%	 94.87%	 0.93	 1.06	 1	 主 客 同
208	 iFortuna.sk(加拿大)	 1.13	 7	 12	 79.64%	 12.86%	 7.5%	 89.99%	 0.93	 0.86	 0.63	 主 客 同
209	 Marathonbet	 1.14	 10	 20	 85.4%	 9.74%	 4.87%	 97.36%	 0.94	 1.23	 1.05	 主 客 同
210	 tipp3	 1.08	 6	 12	 78.74%	 14.17%	 7.09%	 85.04%	 0.89	 0.74	 0.63	 主 客 同
211	 Tattsbet(澳大利亚)	 1.11	 9	 14	 83.15%	 10.26%	 6.59%	 92.3%	 0.91	 1.11	 0.73	 主 客 同
