88	 myBet.com(澳大利亚)	 1.13	 8.5	 22	 84.44%	 11.23%	 4.34%	 95.42%	 0.93	 1.05	 1.15	 主 客 同
89	 Gamebookers Italia(意大利)	 1.13	 8	 16.5	 82.66%	 11.68%	 5.66%	 93.41%	 0.93	 0.99	 0.86	 主 客 同
90	 Betway(直布罗陀)	 1.1	 8.5	 21	 84.62%	 10.95%	 4.43%	 93.08%	 0.91	 1.05	 1.1	 主 客 同
91	 Betsson Sportsbook(英国)	 1.14	 7.4	 20	 82.57%	 12.72%	 4.71%	 94.13%	 0.94	 0.91	 1.05	 主 客 同
92	 BetGun.com(英国)	 1.17	 7.25	 14	 80.32%	 12.96%	 6.71%	 93.97%	 0.96	 0.89	 0.73	 主 客 同
93	 Digibet(德国)	 1.15	 7.3	 21	 82.49%	 12.99%	 4.52%	 94.86%	 0.95	 0.9	 1.1	 主 客 同
94	 Jaxx(德国)	 1.15	 8	 19	 83.04%	 11.94%	 5.03%	 95.5%	 0.95	 0.99	 1	 主 客 同
95	 MeridianBet(爱尔兰)	 1.15	 6	 15	 78.84%	 15.11%	 6.04%	 90.67%	 0.95	 0.74	 0.79	 主 客 同
96	 PartyBets(直布罗陀)	 1.13	 8	 16.5	 82.66%	 11.68%	 5.66%	 93.41%	 0.93	 0.99	 0.86	 主 客 同
97	 Tipico(奥地利)	 1.12	 9	 20	 84.71%	 10.54%	 4.74%	 94.88%	 0.92	 1.11	 1.05	 主 客 同
98	 TopSport(意大利)	 1.09	 9.5	 22	 85.89%	 9.85%	 4.26%	 93.62%	 0.9	 1.17	 1.15	 主 客 同
99	 Triobet(马耳他)	 1.13	 8.25	 15	 82.49%	 11.3%	 6.21%	 93.21%	 0.93	 1.02	 0.79	 主 客 同
100	 Betshop(英国)	 1.15	 7.8	 21.5	 83.27%	 12.28%	 4.45%	 95.76%	 0.95	 0.96	 1.13	 主 客 同
101	 Bet3000(英国)	 1.15	 8.3	 23	 84.14%	 11.66%	 4.21%	 96.76%	 0.95	 1.02	 1.21	 主 客 同
102	 BetUS(美国)	 1.11	 7	 19	 82.17%	 13.03%	 4.8%	 91.21%	 0.91	 0.86	 1	 主 客 同
103	 Doxxbet(马耳他)	 1.12	 6.8	 14.05	 80.36%	 13.24%	 6.41%	 90%	 0.92	 0.84	 0.74	 主 客 同
104	 SBG Global(哥斯达黎加)	 1.13	 7	 19	 81.91%	 13.22%	 4.87%	 92.56%	 0.93	 0.86	 1	 主 客 同
105	 Vierklee(奥地利)	 1.15	 6.5	 15	 79.77%	 14.11%	 6.12%	 91.74%	 0.95	 0.8	 0.79	 主 客 同
106	 Completesportsbetting(澳大利亚)	 1.07	 8.8	 22	 85.45%	 10.39%	 4.16%	 91.43%	 0.88	 1.09	 1.15	 主 客 同
107	 Astra Sport Bets(罗马尼亚)	 1.15	 4.7	 15	 75.68%	 18.52%	 5.8%	 87.03%	 0.95	 0.58	 0.79	 主 客 同
108	 Wagerweb(哥斯达黎加)	 1.08	 7.89	 16.13	 83.07%	 11.37%	 5.56%	 89.72%	 0.89	 0.97	 0.85	 主 客 同
109	 sportsbook.com(安提瓜和巴布达)	 1.13	 7.2	 19	 82.21%	 12.9%	 4.89%	 92.9%	 0.93	 0.89	 1	 主 客 同
110	 Singapore Pools(新加坡)	 1.08	 7	 17	 82.11%	 12.67%	 5.22%	 88.68%	 0.89	 0.86	 0.89	 主 客 同
111	 Miseojeu(加拿大)	 1.01	 7.5	 16	 83.49%	 11.24%	 5.27%	 84.32%	 0.83	 0.93	 0.84	 主 客 同
112	 Match Point(意大利)	 1.13	 7.5	 18	 82.41%	 12.42%	 5.17%	 93.12%	 0.93	 0.93	 0.94	 主 客 同
113	 Jetbull(俄罗斯)	 1.11	 8.2	 19	 83.77%	 11.34%	 4.89%	 92.98%	 0.91	 1.01	 1	 主 客 同
114	 intralot(意大利)	 1.15	 8	 18	 82.81%	 11.9%	 5.29%	 95.23%	 0.95	 0.99	 0.94	 主 客 同
115	 HappyBet(瑞典)	 1.13	 8.3	 17	 83.15%	 11.32%	 5.53%	 93.96%	 0.93	 1.02	 0.89	 主 客 同
116	 gioco digitale(意大利)	 1.11	 8.5	 16.5	 83.48%	 10.9%	 5.62%	 92.66%	 0.91	 1.05	 0.86	 主 客 同
117	 Fubo(加拿大)	 1.12	 7.38	 17	 82.13%	 12.46%	 5.41%	 91.99%	 0.92	 0.91	 0.89	 主 客 同
118	 Eurobet.it(意大利)	 1.15	 7.5	 17	 81.9%	 12.56%	 5.54%	 94.18%	 0.95	 0.93	 0.89	 主 客 同
119	 Balkan Bet(马耳他)	 1.14	 7.5	 19	 82.51%	 12.54%	 4.95%	 94.06%	 0.94	 0.93	 1	 主 客 同
120	 betliner(荷属安的列斯)	 1.14	 10	 16.67	 84.57%	 9.64%	 5.78%	 96.41%	 0.94	 1.23	 0.87	 主 客 同
121	 better.it(意大利)	 1.15	 7.5	 15	 81.3%	 12.47%	 6.23%	 93.5%	 0.95	 0.93	 0.79	 主 客 同
122	 LUXBET.com(澳大利亚)	 1.14	 7.5	 17	 82.03%	 12.47%	 5.5%	 93.51%	 0.94	 0.93	 0.89	 主 客 同
123	 LEON(伯利兹)	 1.12	 8.92	 21.7	 84.95%	 10.67%	 4.38%	 95.14%	 0.92	 1.1	 1.14	 主 客 同
124	 乐天堂(菲律宾)	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
125	 e-stave(斯洛文尼亚)	 1.15	 7	 15	 80.58%	 13.24%	 6.18%	 92.67%	 0.95	 0.86	 0.79	 主 客 同
126	 TheGreek.com	 1.12	 7	 22	 82.58%	 13.21%	 4.2%	 92.49%	 0.92	 0.86	 1.15	 主 客 同
127	 Sportsbet(澳大利亚)	 1.12	 8	 15	 82.33%	 11.53%	 6.15%	 92.21%	 0.92	 0.99	 0.79	 主 客 同
128	 24hBET(瑞典)	 1.11	 8.2	 19	 83.77%	 11.34%	 4.89%	 92.98%	 0.91	 1.01	 1	 主 客 同
129	 Bet7days(哥斯达黎加)	 1.14	 8.5	 17	 83.25%	 11.17%	 5.58%	 94.9%	 0.94	 1.05	 0.89	 主 客 同
130	 Betboo(荷属安的列斯)	 1.12	 7.5	 18	 82.54%	 12.33%	 5.14%	 92.44%	 0.92	 0.93	 0.94	 主 客 同
131	 Bookmaker.com(美国)	 1.11	 7	 18.5	 82.06%	 13.01%	 4.92%	 91.09%	 0.91	 0.86	 0.97	 主 客 同
132	 Dansk Tipstjeneste(丹麦)	 1.12	 8.5	 19	 83.98%	 11.07%	 4.95%	 94.06%	 0.92	 1.05	 1	 主 客 同
133	 noxwin(马耳他)	 1.11	 8.2	 19	 83.77%	 11.34%	 4.89%	 92.98%	 0.91	 1.01	 1	 主 客 同
